date,year,industry,unemployed,share
2001-04-01,2001,Wholesale and Retail Trade,820,0.146638054363
2001-04-01,2001,Manufacturing,855,0.152896995708
2001-04-01,2001,Leisure and hospitality,744,0.133047210300
2001-04-01,2001,Business services,655,0.117131616595
2001-04-01,2001,Construction,596,0.106580829757
2001-04-01,2001,Education and Health,341,0.060979971388
2001-04-01,2001,Government,369,0.065987124464
2001-04-01,2001,Finance,232,0.041487839771
2001-04-01,2001,Self-employed,216,0.038626609442
2001-04-01,2001,Other,220,0.039341917024
2001-04-01,2001,Transportation and Utilities,232,0.041487839771
2001-04-01,2001,Information,148,0.026466380544
2001-04-01,2001,Agriculture,140,0.025035765379
2001-04-01,2001,Mining and Extraction,24,0.004291845494
2001-05-01,2001,Wholesale and Retail Trade,875,0.160727406319
2001-05-01,2001,Manufacturing,903,0.165870683321
2001-05-01,2001,Leisure and hospitality,731,0.134276267450
2001-05-01,2001,Business services,652,0.119764878766
2001-05-01,2001,Construction,478,0.087803085966
2001-05-01,2001,Education and Health,390,0.071638501102
2001-05-01,2001,Government,361,0.066311535636
2001-05-01,2001,Finance,191,0.035084496694
2001-05-01,2001,Self-employed,206,0.037839823659
2001-05-01,2001,Other,172,0.031594415871
2001-05-01,2001,Transportation and Utilities,178,0.032696546657
2001-05-01,2001,Information,164,0.030124908156
2001-05-01,2001,Agriculture,109,0.020022042616
2001-05-01,2001,Mining and Extraction,34,0.006245407788
2001-06-01,2001,Wholesale and Retail Trade,955,0.156224439719
2001-06-01,2001,Manufacturing,956,0.156388025519
2001-06-01,2001,Leisure and hospitality,821,0.134303942418
2001-06-01,2001,Business services,694,0.113528545722
2001-06-01,2001,Construction,443,0.072468509733
2001-06-01,2001,Education and Health,476,0.077866841158
2001-06-01,2001,Government,525,0.085882545395
2001-06-01,2001,Finance,249,0.040732864387
2001-06-01,2001,Self-employed,187,0.030590544741
2001-06-01,2001,Other,246,0.040242106985
2001-06-01,2001,Transportation and Utilities,242,0.039587763782
2001-06-01,2001,Information,163,0.026664485523
2001-06-01,2001,Agriculture,130,0.021266154098
2001-06-01,2001,Mining and Extraction,26,0.004253230820
2001-07-01,2001,Wholesale and Retail Trade,833,0.133944364046
2001-07-01,2001,Manufacturing,1054,0.169480623895
2001-07-01,2001,Leisure and hospitality,813,0.130728412928
2001-07-01,2001,Business services,731,0.117543013346
2001-07-01,2001,Construction,447,0.071876507477
2001-07-01,2001,Education and Health,513,0.082489146165
2001-07-01,2001,Government,548,0.088117060621
2001-07-01,2001,Finance,289,0.046470493648
2001-07-01,2001,Self-employed,191,0.030712333173
2001-07-01,2001,Other,228,0.036661842740
2001-07-01,2001,Transportation and Utilities,236,0.037948223187
2001-07-01,2001,Information,206,0.033124296511
2001-07-01,2001,Agriculture,113,0.018170123814
2001-07-01,2001,Mining and Extraction,17,0.002733558450
2001-08-01,2001,Wholesale and Retail Trade,928,0.142769230769
2001-08-01,2001,Manufacturing,1023,0.157384615385
2001-08-01,2001,Leisure and hospitality,767,0.118000000000
2001-08-01,2001,Business services,790,0.121538461538
2001-08-01,2001,Construction,522,0.080307692308
2001-08-01,2001,Education and Health,595,0.091538461538
2001-08-01,2001,Government,540,0.083076923077
2001-08-01,2001,Finance,256,0.039384615385
2001-08-01,2001,Self-employed,243,0.037384615385
2001-08-01,2001,Other,241,0.037076923077
2001-08-01,2001,Transportation and Utilities,226,0.034769230769
2001-08-01,2001,Information,210,0.032307692308
2001-08-01,2001,Agriculture,141,0.021692307692
2001-08-01,2001,Mining and Extraction,18,0.002769230769
2001-09-01,2001,Wholesale and Retail Trade,936,0.147867298578
2001-09-01,2001,Manufacturing,996,0.157345971564
2001-09-01,2001,Leisure and hospitality,900,0.142180094787
2001-09-01,2001,Business services,810,0.127962085308
2001-09-01,2001,Construction,489,0.077251184834
2001-09-01,2001,Education and Health,455,0.071879936809
2001-09-01,2001,Government,438,0.069194312796
2001-09-01,2001,Finance,268,0.042338072670
2001-09-01,2001,Self-employed,256,0.040442338073
2001-09-01,2001,Other,225,0.035545023697
2001-09-01,2001,Transportation and Utilities,214,0.033807266983
2001-09-01,2001,Information,219,0.034597156398
2001-09-01,2001,Agriculture,101,0.015955766193
2001-09-01,2001,Mining and Extraction,23,0.003633491311
2001-10-01,2001,Wholesale and Retail Trade,941,0.139614243323
2001-10-01,2001,Manufacturing,1065,0.158011869436
2001-10-01,2001,Leisure and hospitality,903,0.133976261128
2001-10-01,2001,Business services,910,0.135014836795
2001-10-01,2001,Construction,535,0.079376854599
2001-10-01,2001,Education and Health,486,0.072106824926
2001-10-01,2001,Government,429,0.063649851632
2001-10-01,2001,Finance,281,0.041691394659
2001-10-01,2001,Self-employed,247,0.036646884273
2001-10-01,2001,Other,239,0.035459940653
2001-10-01,2001,Transportation and Utilities,321,0.047626112760
2001-10-01,2001,Information,233,0.034569732938
2001-10-01,2001,Agriculture,118,0.017507418398
2001-10-01,2001,Mining and Extraction,32,0.004747774481
2001-11-01,2001,Wholesale and Retail Trade,1046,0.146109791870
2001-11-01,2001,Manufacturing,1108,0.154770219304
2001-11-01,2001,Leisure and hospitality,935,0.130604833077
2001-11-01,2001,Business services,946,0.132141360525
2001-11-01,2001,Construction,670,0.093588490013
2001-11-01,2001,Education and Health,516,0.072077105741
2001-11-01,2001,Government,420,0.058667411650
2001-11-01,2001,Finance,320,0.044698980305
2001-11-01,2001,Self-employed,234,0.032686129348
2001-11-01,2001,Other,256,0.035759184244
2001-11-01,2001,Transportation and Utilities,302,0.042184662662
2001-11-01,2001,Information,241,0.033663919542
2001-11-01,2001,Agriculture,145,0.020254225450
2001-11-01,2001,Mining and Extraction,20,0.002793686269
2001-12-01,2001,Wholesale and Retail Trade,1074,0.145528455285
2001-12-01,2001,Manufacturing,1172,0.158807588076
2001-12-01,2001,Leisure and hospitality,938,0.127100271003
2001-12-01,2001,Business services,921,0.124796747967
2001-12-01,2001,Construction,785,0.106368563686
